concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
36349144,1511248,SPL - RxNorm,2023-03-12,2099-12-31,
36351556,1539411,SPL - RxNorm,2023-03-12,2099-12-31,
36354196,1539411,SPL - RxNorm,2023-04-16,2099-12-31,
1539411,36354196,RxNorm - SPL,2023-04-16,2099-12-31,
45875959,40758304,Subsumes,1970-01-01,2099-12-31,
45875959,40758307,Subsumes,1970-01-01,2099-12-31,
45875969,40758528,Subsumes,1970-01-01,2099-12-31,
45875969,40758547,Subsumes,1970-01-01,2099-12-31,
45875975,3044313,Subsumes,1970-01-01,2099-12-31,
4012479,4012479,Mapped from,1970-01-01,2099-12-31,
4012479,4012479,Maps to,1970-01-01,2099-12-31,
4022922,444220,Subsumes,2011-07-31,2099-12-31,
4022922,4022922,Mapped from,1970-01-01,2099-12-31,
4022922,4022922,Maps to,1970-01-01,2099-12-31,
4023347,4023347,Mapped from,1970-01-01,2099-12-31,
4023347,4023347,Maps to,1970-01-01,2099-12-31,
4023347,4026076,Is a,2011-07-31,2099-12-31,
4024509,4024509,Mapped from,1970-01-01,2099-12-31,
4024509,4024509,Maps to,1970-01-01,2099-12-31,
4024509,4189544,Is a,2011-07-31,2099-12-31,
4026076,4023347,Subsumes,2011-07-31,2099-12-31,
4026076,4026076,Mapped from,1970-01-01,2099-12-31,
4026076,4026076,Maps to,1970-01-01,2099-12-31,
4026290,4026290,Mapped from,1970-01-01,2099-12-31,
4026290,4026290,Maps to,1970-01-01,2099-12-31,
4026290,4307750,Is a,2011-07-31,2099-12-31,
4026405,4026405,Mapped from,1970-01-01,2099-12-31,
4026405,4026405,Maps to,1970-01-01,2099-12-31,
4026405,4221985,Subsumes,2011-07-31,2099-12-31,
4029698,4000738,Is a,2011-07-31,2099-12-31,
4029698,4029698,Mapped from,1970-01-01,2099-12-31,
4029698,4029698,Maps to,1970-01-01,2099-12-31,
4030654,4030654,Mapped from,1970-01-01,2099-12-31,
4030654,4030654,Maps to,1970-01-01,2099-12-31,
4030654,4030660,Subsumes,2011-07-31,2099-12-31,
4030654,4043018,Is a,2011-07-31,2099-12-31,
4030654,4293902,Subsumes,2011-07-31,2099-12-31,
4030660,4030654,Is a,2011-07-31,2099-12-31,
4030660,4030660,Mapped from,1970-01-01,2099-12-31,
4030660,4030660,Maps to,1970-01-01,2099-12-31,
4030755,4030755,Mapped from,1970-01-01,2099-12-31,
4030755,4030755,Maps to,1970-01-01,2099-12-31,
4031967,4031967,Mapped from,1970-01-01,2099-12-31,
4031967,4031967,Maps to,1970-01-01,2099-12-31,
4032257,4032257,Mapped from,1970-01-01,2099-12-31,
4032257,4032257,Maps to,1970-01-01,2099-12-31,
4032257,4116191,Subsumes,2011-07-31,2099-12-31,
4032257,4261497,Subsumes,2011-07-31,2099-12-31,
4036154,4036154,Mapped from,1970-01-01,2099-12-31,
4036154,4036154,Maps to,1970-01-01,2099-12-31,
4036154,4090431,Subsumes,2011-07-31,2099-12-31,
4039365,4039365,Mapped from,1970-01-01,2099-12-31,
4039365,4039365,Maps to,1970-01-01,2099-12-31,
4039717,4039717,Mapped from,1970-01-01,2099-12-31,
4039717,4039717,Maps to,1970-01-01,2099-12-31,
4043018,4030654,Subsumes,2011-07-31,2099-12-31,
4043018,4040390,Is a,2011-07-31,2099-12-31,
4043018,4043018,Mapped from,1970-01-01,2099-12-31,
4043018,4043018,Maps to,1970-01-01,2099-12-31,
4043018,4043182,Subsumes,2011-07-31,2099-12-31,
4043023,4043023,Mapped from,1970-01-01,2099-12-31,
4043023,4043023,Maps to,1970-01-01,2099-12-31,
4043182,4043018,Is a,2011-07-31,2099-12-31,
4043182,4043182,Mapped from,1970-01-01,2099-12-31,
4043182,4043182,Maps to,1970-01-01,2099-12-31,
4043182,4293902,Subsumes,2011-07-31,2099-12-31,
4043346,4043346,Mapped from,1970-01-01,2099-12-31,
4043346,4043346,Maps to,1970-01-01,2099-12-31,
4043346,4185503,Is a,2011-07-31,2099-12-31,
4043346,43531056,Is a,2013-07-31,2099-12-31,
4045159,4045159,Mapped from,1970-01-01,2099-12-31,
4045159,4045159,Maps to,1970-01-01,2099-12-31,
4048543,4020466,Subsumes,2011-07-31,2099-12-31,
4048543,4048543,Mapped from,1970-01-01,2099-12-31,
4048543,4048543,Maps to,1970-01-01,2099-12-31,
4048543,4184974,Is a,2011-07-31,2099-12-31,
4051466,317009,Is a,2011-07-31,2099-12-31,
4051466,4051466,Mapped from,1970-01-01,2099-12-31,
4051466,4051466,Maps to,1970-01-01,2099-12-31,
4054050,4054050,Mapped from,2015-03-01,2099-12-31,
4054050,4054050,Maps to,2015-03-01,2099-12-31,
4054050,4091698,Is a,2011-07-31,2099-12-31,
4059634,4059634,Mapped from,1970-01-01,2099-12-31,
4059634,4059634,Maps to,1970-01-01,2099-12-31,
4063579,4063579,Mapped from,1970-01-01,2099-12-31,
4063579,4063579,Maps to,1970-01-01,2099-12-31,
4063579,46271794,Subsumes,2015-07-31,2099-12-31,
4067106,4067106,Mapped from,1970-01-01,2099-12-31,
4067106,4067106,Maps to,1970-01-01,2099-12-31,
4073634,4073634,Mapped from,1970-01-01,2099-12-31,
4073634,4073634,Maps to,1970-01-01,2099-12-31,
4078460,4078460,Mapped from,1970-01-01,2099-12-31,
4078460,4078460,Maps to,1970-01-01,2099-12-31,
4087235,4087235,Mapped from,1970-01-01,2099-12-31,
4087235,4087235,Maps to,1970-01-01,2099-12-31,
4090431,4036154,Is a,2011-07-31,2099-12-31,
4090431,4090431,Mapped from,1970-01-01,2099-12-31,
4090431,4090431,Maps to,1970-01-01,2099-12-31,
4090614,4090614,Mapped from,1970-01-01,2099-12-31,
4090614,4090614,Maps to,1970-01-01,2099-12-31,
4091606,4091606,Mapped from,1970-01-01,2099-12-31,
4091606,4091606,Maps to,1970-01-01,2099-12-31,
4091606,4151891,Subsumes,2011-07-31,2099-12-31,
4091698,4054050,Subsumes,2011-07-31,2099-12-31,
4091698,4091698,Mapped from,2015-03-01,2099-12-31,
4091698,4091698,Maps to,2015-03-01,2099-12-31,
4097664,3024561,Subsumes,2019-12-13,2099-12-31,
4097664,4097664,Mapped from,1970-01-01,2099-12-31,
4097664,4097664,Maps to,1970-01-01,2099-12-31,
4098353,4098353,Mapped from,1970-01-01,2099-12-31,
4098353,4098353,Maps to,1970-01-01,2099-12-31,
4098879,4098879,Mapped from,1970-01-01,2099-12-31,
4098879,4098879,Maps to,1970-01-01,2099-12-31,
4101673,4101673,Mapped from,1970-01-01,2099-12-31,
4101673,4101673,Maps to,1970-01-01,2099-12-31,
4101713,4101713,Mapped from,1970-01-01,2099-12-31,
4101713,4101713,Maps to,1970-01-01,2099-12-31,
4103183,321588,Subsumes,2011-07-31,2099-12-31,
4103183,4103183,Mapped from,1970-01-01,2099-12-31,
4103183,4103183,Maps to,1970-01-01,2099-12-31,
4103183,4227253,Is a,2011-07-31,2099-12-31,
4105866,4105866,Mapped from,1970-01-01,2099-12-31,
4105866,4105866,Maps to,1970-01-01,2099-12-31,
4110275,4110275,Mapped from,1970-01-01,2099-12-31,
4110275,4110275,Maps to,1970-01-01,2099-12-31,
4112343,4112343,Mapped from,1970-01-01,2099-12-31,
4112343,4112343,Maps to,1970-01-01,2099-12-31,
4112343,4252853,Is a,2011-07-31,2099-12-31,
4112439,4112439,Mapped from,2015-03-01,2099-12-31,
4112439,4112439,Maps to,2015-03-01,2099-12-31,
4113999,4113999,Mapped from,1970-01-01,2099-12-31,
4113999,4113999,Maps to,1970-01-01,2099-12-31,
4115106,4115106,Mapped from,1970-01-01,2099-12-31,
4115106,4115106,Maps to,1970-01-01,2099-12-31,
4116191,4032257,Is a,2011-07-31,2099-12-31,
4116191,4116191,Mapped from,1970-01-01,2099-12-31,
4116191,4116191,Maps to,1970-01-01,2099-12-31,
4118910,4118910,Mapped from,1970-01-01,2099-12-31,
4118910,4118910,Maps to,1970-01-01,2099-12-31,
4120664,4120664,Mapped from,1970-01-01,2099-12-31,
4120664,4120664,Maps to,1970-01-01,2099-12-31,
4122115,4122115,Mapped from,1970-01-01,2099-12-31,
4122115,4122115,Maps to,1970-01-01,2099-12-31,
4124783,4124783,Mapped from,2015-03-01,2099-12-31,
4124783,4124783,Maps to,2015-03-01,2099-12-31,
4130852,4130852,Mapped from,1970-01-01,2099-12-31,
4130852,4130852,Maps to,1970-01-01,2099-12-31,
4130852,44784105,Subsumes,2014-01-31,2099-12-31,
4132552,4132552,Mapped from,1970-01-01,2099-12-31,
4132552,4132552,Maps to,1970-01-01,2099-12-31,
4132552,4201745,Is a,2011-07-31,2099-12-31,
4133715,4133715,Mapped from,1970-01-01,2099-12-31,
4133715,4133715,Maps to,1970-01-01,2099-12-31,
4133840,4133840,Mapped from,1970-01-01,2099-12-31,
4133840,4133840,Maps to,1970-01-01,2099-12-31,
4136494,4136494,Mapped from,1970-01-01,2099-12-31,
4136494,4136494,Maps to,1970-01-01,2099-12-31,
4138133,4138133,Mapped from,2015-03-01,2099-12-31,
4138133,4138133,Maps to,2015-03-01,2099-12-31,
4141733,4141733,Mapped from,1970-01-01,2099-12-31,
4141733,4141733,Maps to,1970-01-01,2099-12-31,
4141937,4040390,Is a,2011-07-31,2099-12-31,
4141937,4141937,Mapped from,1970-01-01,2099-12-31,
4141937,4141937,Maps to,1970-01-01,2099-12-31,
4148948,4040551,Is a,2011-07-31,2099-12-31,
4148948,4148948,Mapped from,1970-01-01,2099-12-31,
4148948,4148948,Maps to,1970-01-01,2099-12-31,
37396227,37396227,Mapped from,2016-07-31,2099-12-31,
37396227,37396227,Maps to,2016-07-31,2099-12-31,
38003563,38003563,Mapped from,1970-01-01,2099-12-31,
38003563,38003563,Maps to,1970-01-01,2099-12-31,
40000499,36221121,RxNorm is a,2016-08-01,2099-12-31,
40000499,36221122,RxNorm is a,2016-08-01,2099-12-31,
40000499,40000499,Mapped from,1970-01-01,2099-12-31,
40000499,40000499,Maps to,1970-01-01,2099-12-31,
40010254,1150770,RxNorm has ing,2005-04-04,2099-12-31,
40010254,36213180,RxNorm is a,2016-08-01,2099-12-31,
40010254,36214470,RxNorm is a,2016-08-01,2099-12-31,
40010254,40010254,Mapped from,1970-01-01,2099-12-31,
40010254,40010254,Maps to,1970-01-01,2099-12-31,
40033943,40033943,Mapped from,1970-01-01,2099-12-31,
40033943,40033943,Maps to,1970-01-01,2099-12-31,
40072443,1521369,RxNorm has ing,2005-04-04,2099-12-31,
40072443,19019339,RxNorm inverse is a,2014-12-01,2099-12-31,
